Rxn name	Formula	Gene-reaction association	LB	UB	Objective
T0018	H+_e[e] + Hypoxanthine_e[e]  -> H+_c[c] + Hypoxanthine_c[c] 	Bcoa_1598	  0.00	   Inf	  0.00
T0019	H+_e[e] + L_Arabinose_e[e]  -> H+_c[c] + L_Arabinose_c[c] 	Bcoa_2356	  0.00	   Inf	  0.00
T0020	H+_e[e] + L_Histidine_e[e]  -> H+_c[c] + L_Histidine_c[c] 	Unknown	  0.00	   Inf	  0.00
T0021	H+_e[e] + L_Inositol_e[e]  -> H+_c[c] + L_Inositol_c[c] 	Bcoa_1912 or Bcoa_0754	  0.00	   Inf	  0.00
T0022	H+_e[e] + L_Isoleucine_e[e]  -> H+_c[c] + L_Isoleucine_c[c] 	Bcoa_2053 or Bcoa_0388	  0.00	   Inf	  0.00
T0023	H+_e[e] + L_Lactate_e[e]  -> H+_c[c] + L_Lactate_c[c] 	Bcoa_0708	  0.00	   Inf	  0.00
T0024	H+_e[e] + L_Leucine_e[e]  -> H+_c[c] + L_Leucine_c[c] 	Bcoa_2053 or Bcoa_0388	  0.00	   Inf	  0.00
T0025	H+_e[e]  -> H+_c[c] 	Unknown	  0.00	   Inf	  0.00
T0026	H+_e[e] + L_Proline_e[e]  -> H+_c[c] + L_Proline_c[c] 	Bcoa_2018 or Bcoa_1978 or Bcoa_0273	  0.00	   Inf	  0.00
T0027	H+_e[e] + L_Valine_e[e]  -> H+_c[c] + L_Valine_c[c] 	Bcoa_2053 or Bcoa_0388	  0.00	   Inf	  0.00
T0028	H+_e[e] + Melibiose_e[e]  -> H+_c[c] + Melibiose_c[c] 	Bcoa_2242 or Bcoa_0121	  0.00	   Inf	  0.00
T0029	H+_e[e] + riboflavin_e[e]  -> H+_c[c] + riboflavin_c[c] 	Bcoa_2926	  0.00	   Inf	  0.00
T0030	H+_e[e] + Thiamin_e[e]  -> H+_c[c] + Thiamin_c[c] 	Bcoa_3242	  0.00	   Inf	  0.00
T0031	H+_e[e] + L_Tyrosine_e[e]  -> H+_c[c] + L_Tyrosine_c[c] 	Bcoa_1886 or Bcoa_0780	  0.00	   Inf	  0.00
T0032	H+_e[e] + Uracil_e[e]  -> H+_c[c] + Uracil_c[c] 	Bcoa_1351 or Bcoa_0814 or Bcoa_0833 or Bcoa_0558 or Bcoa_1598 or Bcoa_1688 or Bcoa_1884	  0.00	   Inf	  0.00
T0033	H+_e[e] + Xylose_e[e]  -> H+_c[c] + Xylose_c[c] 	Bcoa_2352 or Bcoa_2356	  0.00	   Inf	  0.00
T0034	ATP_c[c] + Choline_e[e] + H2O_c[c]  -> ADP_c[c] + Choline_c[c] + Phosphate_c[c] 	Bcoa_0768 or Bcoa_0770	  0.00	   Inf	  0.00
T0037	ATP_c[c] + Fe2+_e[e] + H2O_c[c]  -> ADP_c[c] + Fe2+_c[c] + Phosphate_c[c] 	Bcoa_3047	  0.00	   Inf	  0.00
T0043	H2O_e[e]  -> H2O_c[c] 		  0.00	   Inf	  0.00
T0044	H+_e[e] + L_Alanine_e[e]  -> H+_c[c] + L_Alanine_c[c] 	Bcoa_0554 or Bcoa_3193 or Bcoa_1886 or Bcoa_0963	  0.00	   Inf	  0.00
T0045	H+_e[e] + L_Arginine_e[e]  -> H+_c[c] + L_Arginine_c[c] 	Unknown	  0.00	   Inf	  0.00
T0046	L_Arginine_e[e] + Ornithine_c[c]  -> L_Arginine_c[c] + Ornithine_e[e] 	Bcoa_0940 or Bcoa_0452	  0.00	   Inf	  0.00
T0047	H+_e[e] + L_Asparagine_e[e]  -> H+_c[c] + L_Asparagine_c[c] 	Unknown	  0.00	   Inf	  0.00
T0048	H+_e[e] + L_Aspartate_e[e]  -> H+_c[c] + L_Aspartate_c[c] 	Unknown	  0.00	   Inf	  0.00
T0049	H+_e[e] + L_Cysteine_e[e]  -> H+_c[c] + L_Cysteine_c[c] 	Unknown	  0.00	   Inf	  0.00
T0050	H+_e[e] + L_Glutamate_e[e]  -> H+_c[c] + L_Glutamate_c[c] 	Bcoa_1779 or Bcoa_1946	  0.00	   Inf	  0.00
T0051	Glycine_e[e] + H+_e[e]  -> Glycine_c[c] + H+_c[c] 	Bcoa_3193 or Bcoa_0963	  0.00	   Inf	  0.00
T0052	H+_c[c] + L_Lysine_c[c]  -> H+_e[e] + L_Lysine_e[e] 	Bcoa_1811 or Bcoa_1558 or Bcoa_1497 or Bcoa_3235 or Bcoa_0961 or Bcoa_1859 or Bcoa_0960 or Bcoa_1125	  0.00	   Inf	  0.00
T0053	H+_e[e] + L_Phenylalanine_e[e]  -> H+_c[c] + L_Phenylalanine_c[c] 	Unknown	  0.00	   Inf	  0.00
T0054	H+_e[e] + L_Threonine_e[e]  -> H+_c[c] + L_Threonine_c[c] 	Bcoa_0554 or Bcoa_3193 or Bcoa_1886 or Bcoa_0963	  0.00	   Inf	  0.00
T0055	H+_e[e] + L_Tryptophan_e[e]  -> H+_c[c] + L_Tryptophan_c[c] 	Bcoa_0411 or Bcoa_1886 or Bcoa_0780	  0.00	   Inf	  0.00
T0056	NH3_e[e]  -> NH3_c[c] 	Bcoa_0937	  0.00	   Inf	  0.00
T0057	O2_e[e]  -> O2_c[c] 	Unknown	  0.00	   Inf	  0.00
T0058	H+_c[c] + Phosphate_c[c]  -> H+_e[e] + Phosphate_e[e] 	Bcoa_2181	  0.00	   Inf	  0.00
T0066	H+_c[c] + PPi_c[c]  -> H+_e[e] + PPi_e[e] 	Bcoa_2181	  0.00	   Inf	  0.00
T0067	H+_e[e] + L_Serine_e[e]  -> H+_c[c] + L_Serine_c[c] 	Bcoa_3193 or Bcoa_0963	  0.00	   Inf	  0.00
T0068	H+_e[e] + Succinate_e[e]  -> H+_c[c] + Succinate_c[c] 	Bcoa_0921	  0.00	   Inf	  0.00
T0069	H+_e[e] + Sulfate_e[e]  -> H+_c[c] + Sulfate_c[c] 	Unknown	  0.00	   Inf	  0.00
T0070	Urea_e[e]  -> Urea_c[c] 	Unknown	  0.00	   Inf	  0.00
T0071	H+_e[e] + Pyruvate_e[e]  -> H+_c[c] + Pyruvate_c[c] 	Unknown	  0.00	   Inf	  0.00
T0072	H+_c[c] + L_Methionine_c[c]  -> H+_e[e] + L_Methionine_e[e] 	Unknown	  0.00	   Inf	  0.00
EXBiomass_REV	 -> Biomass_c[c] 		  0.00	 -0.00	  0.00
EX0001_REV	 -> Glucose_e[e] 		  0.00	 -0.00	  0.00
EX0002_REV	 -> L_Lactate_e[e] 		  0.00	 -0.00	  0.00
EX0003_REV	 -> CO2_e[e] 		  0.00	 -0.00	  0.00
EX0004_REV	 -> O2_e[e] 		  0.00	 -0.00	  0.00
EX0005_REV	 -> NH3_e[e] 		  0.00	 -0.00	  0.00
EX0006_REV	 -> Phosphate_e[e] 		  0.00	 -0.00	  0.00
EX0007_REV	 -> Sulfate_e[e] 		  0.00	 -0.00	  0.00
EX0008_REV	 -> Thiamin_e[e] 		  0.00	 -0.00	  0.00
EX0009_REV	 -> Fe2+_e[e] 		  0.00	 -0.00	  0.00
EX0010_REV	 -> Folate_e[e] 		  0.00	 -0.00	  0.00
EX0011_REV	 -> Guanine_e[e] 		  0.00	 -0.00	  0.00
EX0012_REV	 -> H+_e[e] 		  0.00	 -0.00	  0.00
EX0013_REV	 -> H2O_e[e] 		  0.00	 -0.00	  0.00
EX0014_REV	 -> L_Alanine_e[e] 		  0.00	 -0.00	  0.00
EX0015_REV	 -> L_Arginine_e[e] 		  0.00	 -0.00	  0.00
EX0016_REV	 -> L_Cysteine_e[e] 		  0.00	 -0.00	  0.00
EX0017_REV	 -> L_Glutamate_e[e] 		  0.00	 -0.00	  0.00
EX0018_REV	 -> L_Histidine_e[e] 		  0.00	 -0.00	  0.00
EX0019_REV	 -> L_Isoleucine_e[e] 		  0.00	 -0.00	  0.00
EX0020_REV	 -> L_Leucine_e[e] 		  0.00	 -0.00	  0.00
EX0021_REV	 -> L_Methionine_e[e] 		  0.00	 -0.00	  0.00
EX0022_REV	 -> L_Threonine_e[e] 		  0.00	 -0.00	  0.00
EX0023_REV	 -> L_Valine_e[e] 		  0.00	 -0.00	  0.00
EX0024_REV	 -> L_Tyrosine_e[e] 		  0.00	 -0.00	  0.00
EX0025_REV	 -> (R)_3_Hydroxybutanoate_e[e] 		  0.00	 -0.00	  0.00
EX0026_REV	 -> 2_Oxoglutarate_e[e] 		  0.00	 -0.00	  0.00
EX0027_REV	 -> Acetoin_e[e] 		  0.00	 -0.00	  0.00
EX0028_REV	 -> Cellobiose_e[e] 		  0.00	 -0.00	  0.00
EX0029_REV	 -> Choline_e[e] 		  0.00	 -0.00	  0.00
EX0030_REV	 -> Cytosine_e[e] 		  0.00	 -0.00	  0.00
EX0031_REV	 -> D_Alanine_e[e] 		  0.00	 -0.00	  0.00
EX0032_REV	 -> D_Fructose_e[e] 		  0.00	 -0.00	  0.00
EX0033_REV	 -> D_Gluconate_e[e] 		  0.00	 -0.00	  0.00
EX0034_REV	 -> D_Mannose_e[e] 		  0.00	 -0.00	  0.00
EX0035_REV	 -> D_Ribose_e[e] 		  0.00	 -0.00	  0.00
EX0036_REV	 -> Ethanol_e[e] 		  0.00	 -0.00	  0.00
EX0037_REV	 -> Formate_e[e] 		  0.00	 -0.00	  0.00
EX0038_REV	 -> Fumarate_e[e] 		  0.00	 -0.00	  0.00
EX0039_REV	 -> GABA_e[e] 		  0.00	 -0.00	  0.00
EX0040_REV	 -> Galactose_e[e] 		  0.00	 -0.00	  0.00
EX0041_REV	 -> Glycerol_e[e] 		  0.00	 -0.00	  0.00
EX0042_REV	 -> Hypoxanthine_e[e] 		  0.00	 -0.00	  0.00
EX0043_REV	 -> L_Arabinose_e[e] 		  0.00	 -0.00	  0.00
EX0044_REV	 -> L_Asparagine_e[e] 		  0.00	 -0.00	  0.00
EX0045_REV	 -> L_Aspartate_e[e] 		  0.00	 -0.00	  0.00
EX0046_REV	 -> L_Glutamine_e[e] 		  0.00	 -0.00	  0.00
EX0047_REV	 -> Glycine_e[e] 		  0.00	 -0.00	  0.00
EX0048_REV	 -> L_Inositol_e[e] 		  0.00	 -0.00	  0.00
EX0049_REV	 -> L_Lysine_e[e] 		  0.00	 -0.00	  0.00
EX0050_REV	 -> L_Malate_e[e] 		  0.00	 -0.00	  0.00
EX0051_REV	 -> L_Phenylalanine_e[e] 		  0.00	 -0.00	  0.00
EX0052_REV	 -> L_Proline_e[e] 		  0.00	 -0.00	  0.00
EX0053_REV	 -> L_Tryptophan_e[e] 		  0.00	 -0.00	  0.00
EX0054_REV	 -> Maltose_e[e] 		  0.00	 -0.00	  0.00
EX0055_REV	 -> Melibiose_e[e] 		  0.00	 -0.00	  0.00
EX0056_REV	 -> Ornithine_e[e] 		  0.00	 -0.00	  0.00
EX0057_REV	 -> PPi_e[e] 		  0.00	 -0.00	  0.00
EX0058_REV	 -> Putrescine_e[e] 		  0.00	 -0.00	  0.00
EX0059_REV	 -> riboflavin_e[e] 		  0.00	 -0.00	  0.00
EX0060_REV	 -> L_Serine_e[e] 		  0.00	 -0.00	  0.00
EX0061_REV	 -> Succinate_e[e] 		  0.00	 -0.00	  0.00
EX0062_REV	 -> Sucrose_e[e] 		  0.00	 -0.00	  0.00
EX0063_REV	 -> Thyminose_e[e] 		  0.00	 -0.00	  0.00
EX0064_REV	 -> Trehalose_e[e] 		  0.00	 -0.00	  0.00
EX0065_REV	 -> Uracil_e[e] 		  0.00	 -0.00	  0.00
EX0066_REV	 -> Urea_e[e] 		  0.00	 -0.00	  0.00
EX0067_REV	 -> Xylose_e[e] 		  0.00	 -0.00	  0.00
EX0068_REV	 -> Acetate_e[e] 		  0.00	 -0.00	  0.00
EX0069_REV	 -> Citrate_e[e] 		  0.00	 -0.00	  0.00
EX0070_REV	 -> Pyruvate_e[e] 		  0.00	 -0.00	  0.00
R0218_REV	Diglucosyldiacylglycerol_c[c] + Phosphatidylglycerol_c[c]  -> 1_2_Diacyl_sn_glycerol_c[c] + Glycerophosphoglycoglycerolipid_c[c] 	Bcoa_3261	  0.00	   Inf	  0.00
R0256_REV	Deoxyguanosine_c[c] + Triphosphate_c[c]  -> H2O_c[c] + dGTP_c[c] 	Bcoa_1409	  0.00	   Inf	  0.00
T0001_REV	(R)_3_Hydroxybutanoate_c[c]  -> (R)_3_Hydroxybutanoate_e[e] 	Unknown	  0.00	   Inf	  0.00
T0002_REV	Fumarate_c[c] + H+_c[c]  -> Fumarate_e[e] + H+_e[e] 	Bcoa_0921	  0.00	   Inf	  0.00
T0003_REV	H+_c[c] + L_Malate_c[c]  -> H+_e[e] + L_Malate_e[e] 	Bcoa_0921	  0.00	   Inf	  0.00
T0004_REV	2_Oxoglutarate_c[c] + H+_c[c]  -> 2_Oxoglutarate_e[e] + H+_e[e] 	Bcoa_1845	  0.00	   Inf	  0.00
T0005_REV	Acetate_c[c] + H+_c[c]  -> Acetate_e[e] + H+_e[e] 		  0.00	   Inf	  0.00
T0006_REV	Acetoin_c[c] + H+_c[c]  -> Acetoin_e[e] + H+_e[e] 		  0.00	   Inf	  0.00
T0007_REV	Citrate_c[c] + H+_c[c]  -> Citrate_e[e] + H+_e[e] 	Bcoa_0934	  0.00	   Inf	  0.00
T0008_REV	CO2_c[c]  -> CO2_e[e] 	Unknown	  0.00	   Inf	  0.00
T0009_REV	Ethanol_c[c]  -> Ethanol_e[e] 		  0.00	   Inf	  0.00
T0011_REV	Formate_c[c] + H+_c[c]  -> Formate_e[e] + H+_e[e] 	Bcoa_2166 or Bcoa_0745	  0.00	   Inf	  0.00
T0012_REV	Glycerol_e[e]  -> Glycerol_c[c] 	Bcoa_0924	  0.00	   Inf	  0.00
T0014_REV	Cytosine_c[c] + H+_c[c]  -> Cytosine_e[e] + H+_e[e] 	Bcoa_0814 or Bcoa_0833 or Bcoa_0558	  0.00	   Inf	  0.00
T0015_REV	D_Alanine_c[c] + H+_c[c]  -> D_Alanine_e[e] + H+_e[e] 	Bcoa_3193 or Bcoa_0963	  0.00	   Inf	  0.00
T0016_REV	D_Gluconate_c[c] + H+_c[c]  -> D_Gluconate_e[e] + H+_e[e] 	Bcoa_1740 or Bcoa_1048	  0.00	   Inf	  0.00
T0017_REV	GABA_c[c] + H+_c[c]  -> GABA_e[e] + H+_e[e] 	Bcoa_0554	  0.00	   Inf	  0.00
T0018_REV	H+_c[c] + Hypoxanthine_c[c]  -> H+_e[e] + Hypoxanthine_e[e] 	Bcoa_1598	  0.00	   Inf	  0.00
T0019_REV	H+_c[c] + L_Arabinose_c[c]  -> H+_e[e] + L_Arabinose_e[e] 	Bcoa_2356	  0.00	   Inf	  0.00
T0020_REV	H+_c[c] + L_Histidine_c[c]  -> H+_e[e] + L_Histidine_e[e] 	Unknown	  0.00	   Inf	  0.00
T0021_REV	H+_c[c] + L_Inositol_c[c]  -> H+_e[e] + L_Inositol_e[e] 	Bcoa_1912 or Bcoa_0754	  0.00	   Inf	  0.00
T0022_REV	H+_c[c] + L_Isoleucine_c[c]  -> H+_e[e] + L_Isoleucine_e[e] 	Bcoa_2053 or Bcoa_0388	  0.00	   Inf	  0.00
